Original Transcript,Tagged Transcript,English Words Found,Count,Detection Methods
मेरा इंटरव्यू बहुत अच्छा गया और मुझे जॉब मिल गई,मेरा [EN]इंटरव्यू[/EN] बहुत अच्छा गया और मुझे [EN]जॉब[/EN] मिल गई,"इंटरव्यू, जॉब",2,dictionary
ये प्रॉब्लम सॉल्व नहीं हो रहा,ये [EN]प्रॉब्लम[/EN] [EN]सॉल्व[/EN] नहीं हो रहा,"प्रॉब्लम, सॉल्व",2,dictionary
मुझे म्यूजिक सुनना पसंद है गाना भी पसंद है एक्चुअली और डांसिंग तो पैशन है मेरा,मुझे [EN]म्यूजिक[/EN] सुनना पसंद है गाना भी पसंद है [EN]एक्चुअली[/EN] और [EN]डांसिंग[/EN] तो [EN]पैशन[/EN] है मेरा,"म्यूजिक, एक्चुअली, डांसिंग, पैशन",4,dictionary
हाँ नहीं तो पहले डेस्कटॉप था ना बाद में लैपटॉप आया,हाँ नहीं तो पहले [EN]डेस्कटॉप[/EN] था ना बाद में [EN]लैपटॉप[/EN] आया,"डेस्कटॉप, लैपटॉप",2,dictionary
अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी,अच्छा चलिए अच्छा हुआ आपने ये सारी [EN]इंफॉर्मेशन[/EN] मुझे बता दी,इंफॉर्मेशन,1,dictionary
तो भारत तो एक खुद से ही गिफ्टेड लैंड है तो हमें इसको एक्सप्लोर करना चाहिए,तो भारत तो एक खुद से ही [EN]गिफ्टेड[/EN] [EN]लैंड[/EN] है तो हमें इसको [EN]एक्सप्लोर[/EN] करना चाहिए,"गिफ्टेड, लैंड, एक्सप्लोर",3,dictionary
जी फीडबैक मिलने पर सुधार करना,जी [EN]फीडबैक[/EN] मिलने पर सुधार करना,फीडबैक,1,dictionary
बहुत प्योर हार्ट रहता है सबका,बहुत [EN]प्योर[/EN] [EN]हार्ट[/EN] रहता है सबका,"प्योर, हार्ट",2,dictionary
हम उनके साथ कैसा बिहेव किए उस समय,हम उनके साथ कैसा [EN]बिहेव[/EN] किए उस समय,बिहेव,1,dictionary
लाइक रविवार को कॉलेज की भी छुट्टी रहती है,[EN]लाइक[/EN] रविवार को [EN]कॉलेज[/EN] की भी छुट्टी रहती है,"लाइक, कॉलेज",2,dictionary
