Segment_URL,Model H_Standard_WER,Model H_Lattice_WER,Model H_Improvement,Model i_Standard_WER,Model i_Lattice_WER,Model i_Improvement,Model k_Standard_WER,Model k_Lattice_WER,Model k_Improvement,Model l_Standard_WER,Model l_Lattice_WER,Model l_Improvement,Model m_Standard_WER,Model m_Lattice_WER,Model m_Improvement,Model n_Standard_WER,Model n_Lattice_WER,Model n_Improvement
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333,0.1667,0.3333,0.1667,0.1666,1.0,0.5,0.5,0.3333,0.3333,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,0.0,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.3333,0.1667,0.1666
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.0,0.0,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.5,0.3333,0.1667,0.1667,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,0.4,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.2,0.4,0.4,0.0,0.4,0.4,0.0,0.4,0.4,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,0.3333,0.1667,0.1666,0.0,0.0,0.0,0.1667,0.1667,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,0.1429,0.1429,0.0,0.0,0.0,0.0,0.4286,0.4286,0.0,0.2857,0.2857,0.0,0.2857,0.1429,0.1428,0.1429,0.1429,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,0.0,0.1163,0.1628,0.0698,0.093,0.0698,0.0465,0.0233
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,0.093,0.0698,0.0232,0.0,0.0,0.0,0.0465,0.0233,0.0232,0.1163,0.0698,0.0465,0.1628,0.0698,0.093,0.1395,0.1163,0.0232
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.027,0.0541,0.027,0.0271,0.1081,0.0541,0.054,0.0541,0.027,0.0271
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,0.0455,0.0455,0.0,0.0,0.0,0.0,0.1364,0.0909,0.0455,0.1364,0.0455,0.0909,0.2727,0.1364,0.1363,0.1818,0.0909,0.0909
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,0.0222,0.0222,0.0,0.0,0.0,0.0,0.0889,0.0444,0.0445,0.1333,0.0889,0.0444,0.1111,0.0444,0.0667,0.0889,0.0444,0.0445
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0889,0.0667,0.0222,0.0,0.0,0.0,0.1556,0.0889,0.0667,0.0889,0.0667,0.0222
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,0.0833,0.0833,0.0,0.0,0.0,0.0,0.1667,0.0833,0.0834,0.1667,0.0833,0.0834,0.1667,0.0,0.1667,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0435,0.2174,0.1304,0.0435,0.0869,0.2174,0.087,0.1304,0.1304,0.0,0.1304
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,0.0244,0.0244,0.0,0.0,0.0,0.0,0.0488,0.0,0.0488,0.0488,0.0244,0.0244,0.1707,0.0732,0.0975,0.2195,0.1707,0.0488
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,0.025,0.0,0.025,0.0,0.0,0.0,0.075,0.025,0.05,0.05,0.025,0.025,0.25,0.15,0.1,0.2,0.125,0.075
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0588,0.0,0.0588,0.2353,0.0588,0.1765,0.2353,0.1176,0.1177
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0588,0.0,0.1176,0.0588,0.0588,0.0588,0.0,0.0588,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,0.0556,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0556,0.0555,0.1111,0.0,0.1111,0.1111,0.1111,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,0.1176,0.0588,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.1176,0.0,0.1765,0.1765,0.0,0.0588,0.0588,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.1176,0.0588,0.0588,0.0588,0.0,0.0588,0.1176,0.0,0.1176
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,0.2857,0.2857,0.4286,0.2857,0.1429,0.2857,0.2857,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.2857,0.2857,0.1429,0.1428
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.2857,0.0,0.4286,0.0,0.4286,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,0.0714,0.0,0.0714,0.0714,0.0,0.0714,0.1429,0.0,0.1429,0.0714,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.1429,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1604702_539.04_545.67.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1605486_234.45_239.19.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0556,0.0555,0.1111,0.0,0.1111,0.1667,0.1111,0.0556,0.1111,0.0556,0.0555
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1673210_71.10_80.43.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0556,0.0556,0.0556,0.0,0.1111,0.0556,0.0555,0.0556,0.0,0.0556
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1596221_153.00_164.31.wav,0.2353,0.1765,0.0588,0.0,0.0,0.0,0.6471,0.6471,0.0,0.1176,0.0588,0.0588,0.1765,0.1176,0.0589,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1616491_921.99_932.91.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.027,0.0811,0.027,0.0541,0.1081,0.1081,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1613818_192.42_205.77.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.0526,0.0,0.0526
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_16197_140.52_148.50.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.2105,0.0,0.1053,0.0526,0.0527,0.0526,0.0,0.0526,0.1579,0.0,0.1579
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1630690_1023.81_1031.46.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.1579,0.0,0.1579,0.1579,0.0,0.1579,0.0526,0.0,0.0526
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1732616_196.77_205.11.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.0526,0.0,0.0526,0.0,0.0,0.0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2055669_44.43_55.50.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.2632,0.1053,0.1579,0.0,0.0,0.0,0.2632,0.0,0.2632,0.2105,0.0526,0.1579
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_13457_121.08_125.85.wav,0.0833,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0833,0.1667,0.0,0.1667
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545124_753.21_762.48.wav,0.0,0.0,0.0,0.0417,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0833,0.0,0.125,0.0833,0.0417
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1545318_552.15_557.22.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.0833,0.0,0.0833
